276.454,0.23,183.2,,
277.743,0.23,183.2,,
278.926,0.23,183.2,,
280.542,0.23,183.2,,
281.721,0.54,183.2,,
283.545,0.54,183.2,,
284.731,0.39,183.2,,
285.903,0.39,183.2,,
287.092,0.39,173.2,,
288.264,0.39,173.2,,
289.451,0.39,170.7,,
290.625,0.39,170.7,,
291.81,0.39,167.4,,
292.989,0.39,167.4,,
294.177,0.39,165.3,,
295.354,0.39,165.3,,
296.525,0.39,165.3,,
297.708,0.33,165.3,,
299.381,0.33,165.3,,
300.568,0.92,165.3,,
302.372,0.92,165.3,,
303.557,0.5,165.3,,
305.37,0.5,165.3,,
306.562,0.23,165.3,,
308.365,0.23,165.3,,
309.553,0.22,165.3,,
311.362,0.22,165.3,,
312.545,0.27,165.3,,
314.379,0.27,165.3,,
315.566,0.23,165.3,,
317.375,0.23,165.3,,
318.569,0.17,165.3,,
320.382,0.17,165.3,,
321.571,0.27,165.3,,
323.374,0.27,165.3,,
324.561,0.31,165.3,,
326.38,0.31,165.3,,
327.566,0.34,165.3,,
329.375,0.34,165.3,,
330.562,0.27,165.3,,
332.368,0.27,165.3,,
333.553,0.05,165.3,,
335.375,0.05,165.3,,
336.562,0.12,165.3,,
338.383,0.12,165.3,,
339.57,0.31,165.3,,
341.373,0.31,165.3,,
342.563,0.17,165.3,,
344.392,0.17,165.3,,
345.585,0.38,165.3,,
347.377,0.38,165.3,,
348.564,0.21,165.3,,
350.374,0.21,165.3,,
351.559,10.68,165.3,,
353.367,10.68,165.3,,
354.646,5.87,165.3,,
356.377,5.87,165.3,,
357.572,0.15,165.3,,
359.375,0.15,165.3,,
360.561,0.23,165.3,,
362.375,0.23,165.3,,
363.56,0.31,165.3,,
365.377,0.31,165.3,,
366.556,0.26,165.3,,
368.376,0.26,165.3,,
369.565,0.21,165.3,,
371.376,0.21,165.3,,
372.562,0.11,165.3,,
373.747,0.11,150.5,,
374.916,0.11,150.5,,
376.714,0.11,150.5,,
377.899,0.07,150.5,,
379.687,0.07,150.5,,
380.876,0.07,150.5,,
382.676,0.07,150.5,,
383.865,0.22,150.5,,
385.661,0.22,150.5,,
386.856,0.23,150.5,,
388.667,0.23,150.5,,
389.859,0.53,150.5,,
391.737,0.53,150.5,,
392.922,1.76,150.5,,
394.664,1.76,150.5,,
395.848,1.47,150.5,,
397.738,1.47,150.5,,
398.931,1.6,150.5,,
400.684,1.6,150.5,,
401.875,1.9,150.5,,
403.664,1.9,150.5,,
404.851,1.99,150.5,,
406.66,1.99,150.5,,
407.845,2.18,150.5,,
409.676,2.18,150.5,,
410.865,2.46,150.5,,
412.739,2.46,150.5,,
413.922,2.21,150.5,,
415.667,2.21,150.5,,
416.857,2.34,150.5,,
418.672,2.34,150.5,,
419.863,2.08,150.5,,
421.71,2.08,150.5,,
422.894,2.13,150.5,,
424.684,2.13,150.5,,
425.871,2.21,150.5,,
427.678,2.21,150.5,,
428.864,1.91,150.5,,
430.664,1.91,150.5,,
431.842,1.36,150.5,,
433.686,1.36,150.5,,
434.961,0.92,150.5,,
436.679,0.92,150.5,,
437.866,0.02,150.5,,
439.663,0.02,150.5,,
440.849,0.03,150.5,,
442.734,0.03,150.5,,
443.921,0.08,150.5,,
445.666,0.08,150.5,,
446.853,0.05,150.5,,
448.669,0.05,150.5,,
449.852,0.88,150.5,,
451.67,0.88,150.5,,
452.854,0.16,150.5,,
454.742,0.16,150.5,,
455.933,0.38,150.5,,
457.672,0.38,150.5,,
458.868,0.85,150.5,,
460.669,0.85,150.5,,
461.853,0.23,150.5,,
463.708,0.23,150.5,,
464.899,0.29,150.5,,
466.663,0.29,150.5,,
467.857,0.16,150.5,,
469.67,0.16,150.5,,
470.855,0.11,150.5,,
472.663,0.11,150.5,,
473.854,0.12,150.5,,
475.691,0.12,150.5,,
476.882,0.23,150.5,,
478.659,0.23,150.5,,
479.851,0.27,150.5,,
481.668,0.27,150.5,,
482.852,0.28,150.5,,
484.676,0.28,150.5,,
485.861,0.21,150.5,,
487.687,0.21,150.5,,
